iter	Passed	Remaining
401	12965	19287
402	12995	19251
403	13027	19218
404	13059	19186
405	13095	19158
406	13130	19130
407	13164	19101
408	13200	19074
409	13232	19041
410	13269	19016
411	13303	18986
412	13332	18950
413	13366	18919
414	13400	18890
415	13440	18868
416	13481	18847
417	13513	18814
418	13550	18790
419	13588	18764
420	13618	18729
421	13645	18689
422	13675	18654
423	13705	18618
424	13745	18596
425	13787	18577
426	13824	18551
427	13855	18517
428	13886	18482
429	13920	18453
430	13951	18418
431	13987	18390
432	14016	18353
433	14044	18315
434	14070	18275
435	14096	18234
436	14128	18202
437	14162	18171
438	14200	18146
439	14235	18117
440	14268	18086
441	14306	18061
442	14338	18028
443	14365	17989
444	14395	17954
445	14428	17922
446	14458	17886
447	14486	17849
448	14516	17813
449	14558	17793
450	14600	17773
451	14642	17752
452	14680	17726
453	14710	17691
454	14738	17653
455	14771	17622
456	14811	17599
457	14843	17565
458	14873	17531
459	14900	17492
460	14935	17462
461	14964	17426
462	14995	17392
463	15024	17356
464	15052	17318
465	15080	17281
466	15119	17255
467	15150	17221
468	15176	17182
469	15203	17144
470	15232	17108
471	15262	17073
472	15292	17038
473	15320	17000
474	15347	16963
475	15374	16924
476	15403	16889
477	15430	16851
478	15457	16813
479	15484	16775
480	15513	16738
481	15539	16700
482	15566	16662
483	15602	16634
484	15642	16610
485	15672	16575
486	15710	16549
487	15746	16520
488	15774	16484
489	15809	16454
490	15844	16425
491	15881	16398
492	15910	16362
493	15936	16323
494	15969	16291
495	16005	16263
496	16033	16227
497	16068	16197
498	16097	16161
499	16130	16130
500	16165	16100
501	16202	16072
502	16239	16045
503	16270	16012
504	16299	15976
505	16333	15946
506	16370	15918
507	16406	15890
508	16439	15858
509	16471	15825
510	16499	15789
511	16529	15754
512	16558	15719
513	16587	15683
514	16621	15653
515	16648	15616
516	16678	15581
517	16714	15553
518	16752	15526
519	16794	15502
520	16830	15473
521	16863	15442
522	16905	15418
523	16965	15411
524	16998	15379
525	17024	15341
526	17052	15304
527	17082	15270
528	17115	15238
529	17143	15202
530	17176	15171
531	17207	15137
532	17238	15104
533	17269	15070
534	17302	15038
535	17330	15002
536	17368	14974
537	17400	14942
538	17430	14908
539	17458	14872
540	17486	14836
541	17518	14803
542	17545	14767
543	17571	14728
544	17598	14692
545	17628	14658
546	17659	14624
547	17684	14586
548	17708	14547
549	17734	14509
550	17761	14473
551	17791	14439
552	17824	14408
553	17856	14375
554	17883	14339
555	17911	14303
556	17939	14267
557	17966	14231
558	17995	14196
559	18023	14161
560	18053	14127
561	18084	14094
562	18111	14058
563	18140	14023
564	18167	13987
565	18195	13952
566	18226	13919
567	18254	13883
568	18280	13847
569	18306	13809
570	18333	13774
571	18361	13738
572	18386	13701
573	18412	13665
574	18437	13628
575	18463	13591
576	18488	13554
577	18515	13518
578	18540	13481
579	18568	13445
580	18597	13411
581	18627	13378
582	18659	13346
583	18692	13314
584	18722	13281
585	18755	13250
586	18784	13216
587	18811	13180
588	18843	13148
589	18877	13117
590	18904	13082
591	18932	13048
592	18959	13012
593	18988	12978
594	19020	12947
595	19056	12917
596	19083	12882
597	19111	12847
598	19137	12811
599	19162	12775
600	19186	12737
601	19211	12701
602	19237	12665
603	19271	12634
604	19302	12602
605	19331	12568
606	19359	12534
607	19385	12498
608	19411	12462
609	19436	12426
610	19463	12391
611	19492	12358
612	19521	12324
613	19552	12292
614	19582	12259
615	19620	12231
616	19648	12196
617	19678	12163
618	19706	12129
619	19733	12094
620	19765	12062
621	19790	12026
622	19815	11991
623	19840	11955
624	19867	11920
625	19894	11885
626	19929	11855
627	19957	11821
628	19984	11787
629	20009	11751
630	20035	11716
631	20064	11682
632	20092	11649
633	20117	11613
634	20143	11578
635	20170	11544
636	20198	11510
637	20226	11476
638	20253	11441
639	20279	11407
640	20304	11372
641	20334	11339
642	20363	11306
643	20389	11271
644	20416	11236
645	20447	11204
646	20475	11171
647	20503	11137
648	20530	11103
649	20557	11069
650	20583	11034
651	20612	11001
652	20640	10968
653	20666	10933
654	20692	10899
655	20718	10864
656	20745	10830
657	20780	10800
658	20807	10766
659	20834	10733
660	20861	10699
661	20889	10665
662	20917	10632
663	20945	10599
664	20981	10569
665	21009	10536
666	21040	10504
667	21066	10470
668	21093	10436
669	21127	10406
670	21158	10374
671	21184	10340
672	21215	10308
673	21244	10275
674	21274	10243
675	21307	10212
676	21346	10184
677	21375	10151
678	21401	10117
679	21440	10089
680	21471	10057
681	21495	10022
682	21521	9988
683	21548	9955
684	21575	9921
